Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,3,99990000.0,970777.0,103.0,60.769999999999996,17.51,2,2024,Вторичка,3.4,2,Во двор,Дизайнерский,Да,3,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,5,2
"Москва, ЦАО, р-н Тверской, Тверская ул., 4",Охотный ряд,2,79900000.0,913143.0,87.5,75.0,7.5,7,1938,Вторичка,3.2,2,На улицу,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,7,3
"Москва, ЦАО, р-н Мещанский, Звонарский пер., 3",Кузнецкий мост,6,170000000.0,997067.0,170.5,100.595,28.985000000000003,6,2019,Вторичка,2.87,3,Во двор,Без ремонта,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,5
"Москва, ЦАО, р-н Тверской, Тверская ул., 4",Охотный ряд,1,77760000.0,883636.0,88.0,70.0,10.0,7,1938,Вторичка,3.2,2,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Хамовники, Гоголевский бул., 8",Кропоткинская,2,27000000.0,710526.0,38.0,24.0,8.0,5,1931,Вторичка,3.0,2,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,1,100000000.0,970874.0,103.0,60.769999999999996,17.51,2,2024,Вторичка,3.4,2,На улицу и двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,5,2
"Москва, ЦАО, р-н Тверской, ул. Петровка, 21С2",Чеховская,7,377960000.0,1100000.0,343.6,202.724,58.412000000000006,1,1917,Вторичка,2.87,4,Во двор,Без ремонта,Нет,0,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,2,5
"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5с1",Китай-город,2,62900000.0,599048.0,105.0,61.949999999999996,17.85,3,2022,Вторичка,2.8,2,На улицу и двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Красносельский, Милютинский пер., 3",Лубянка,4,114732640.0,1141618.0,100.5,56.0,10.0,3,1898,Вторичка,4.2,2,На улицу,Евроремонт,Нет,2,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Мещанский, Варсонофьевский пер., 6",Кузнецкий мост,5,149183250.0,675037.0,221.0,149.9,66.1,5,1896,Вторичка,3.8,3,На улицу и двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,4
"Москва, ЦАО, р-н Тверской, ул. Большая Дмитровка, 20С1",Чеховская,6,119346600.0,954773.0,125.0,73.75,21.25,4,1924,Вторичка,2.87,2,Во двор,Дизайнерский,Да,0,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,4,3
"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,5,87000000.0,664122.0,131.0,77.28999999999999,13.3,6,1914,Вторичка,3.4,2,На улицу и двор,Косметический,Нет,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,7,4
"Москва, ЮАО, р-н Москворечье-Сабурово, Пролетарский просп., 3",Каширская,1,23000000.0,285714.0,80.5,48.0,10.0,2,2002,Вторичка,2.87,2,На улицу и двор,Косметический,Да,3,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,3
"Москва, ЦАО, р-н Мещанский, Большой Сергиевский пер., 18",Трубная,7,79740960.0,1084911.0,73.5,43.364999999999995,12.495000000000001,4,1913,Вторичка,3.4,2,Во двор,Дизайнерский,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,5,4
"Москва, ЦАО, р-н Мещанский, Большой Сергиевский пер., 18",Трубная,7,79740960.0,1081967.0,73.7,43.483,7.0,4,1913,Вторичка,3.0,3,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Деревянные,Открытая,Центральное,1,Неизвестно,5,3
"Москва, ЦАО, р-н Тверской, Тверская ул., 6С1",Охотный ряд,5,72000000.0,837209.0,86.0,45.0,10.0,6,1940,Вторичка,3.3,1,На улицу и двор,Евроремонт,Да,2,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Тверской, Газетный пер., 13",Охотный ряд,6,150000000.0,992063.0,151.2,90.0,25.704,14,1956,Вторичка,2.87,2,На улицу и двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,14,4
"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С2",Китай-город,4,79990000.0,437104.0,183.0,107.0,18.0,4,1914,Вторичка,3.5,3,На улицу и двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,6,4
"Москва, ЦАО, р-н Тверской, Тверская ул., 6С1",Охотный ряд,5,72000000.0,837209.0,86.0,50.0,16.0,6,1940,Вторичка,2.87,1,На улицу и двор,Косметический,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,6,2
"Москва, ЮАО, р-н Москворечье-Сабурово, Пролетарский просп., 7",Каширская,18,33500000.0,288793.0,116.0,85.0,12.0,7,2005,Вторичка,3.0,1,На улицу и двор,Евроремонт,Нет,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,23,3
"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С2",Китай-город,4,60000000.0,833333.0,72.0,30.0,20.0,5,1914,Вторичка,4.0,1,Во двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,6,3
"Москва, ЮАО, р-н Нагатино-Садовники, ул. Академика Миллионщикова, 13К2",Коломенская,13,10700000.0,323263.0,33.1,19.0,6.8,9,1969,Вторичка,2.87,1,Во двор,Евроремонт,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЦАО, р-н Мещанский, Цветной бул., 32А",Цветной бульвар,3,95000000.0,833333.0,114.0,80.0,15.0,3,2019,Вторичка,2.87,2,Во двор,Без ремонта,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,8,3
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",Лубянка,1,149900000.0,1153077.0,130.0,76.7,22.1,4,2012,Вторичка,3.3,1,На улицу и двор,Дизайнерский,Нет,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,5,3
"Москва, ЦАО, р-н Хамовники, Пожарский пер., 8",Кропоткинская,6,80000000.0,720721.0,111.0,65.0,14.0,3,1915,Вторичка,2.87,1,Во двор,Косметический,Да,1,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,6,4
